0;1;1266012000
0;2;1270936800
0;3;1294524000
0;4;1270072800
0;5;1270591200
0;6;1241733600
0;7;1294524000
0;8;1232834400
0;9;1241301600
0;10;1267999200
0;11;1307566800
0;12;1307221200
0;13;1307221200
1;7;1266789600
14;2;1275861600
14;15;1275861600
14;8;1275861600
16;17;1280181600
16;18;1316725200
16;8;1277589600
16;19;1316638800
20;2;1276293600
17;21;1216591200
17;2;1275861600
17;18;1316725200
17;8;1248472800
17;22;1297807200
17;19;1316638800
17;23;1316811600
21;8;1217800800
24;7;1268431200
2;5;1272232800
2;15;1275861600
2;25;1279404000
2;8;1275861600
2;10;1267999200
2;26;1283637600
5;15;1276034400
5;27;1277589600
15;8;1275861600
7;13;1307221200
18;8;1316725200
18;19;1316725200
28;25;1279836000
8;9;1256076000
8;10;1277244000
8;22;1295388000
8;19;1316638800
8;23;1316898000
11;12;1307221200
11;13;1308430800
22;19;1319490000
29;19;1319230800
12;13;1307739600
19;23;1316811600
